adc_value desired_adc_value voltage desired_voltage
492 544 1588,548 1754,839
495 545 1595,323 1758,065
495 546 1597,903 1761,29
495 547 1596,452 1764,516
497 548 1604,677 1767,742
499 549 1608,71 1770,968
499 550 1610,645 1774,194
500 551 1613,871 1777,419
501 552 1616,935 1780,645
507 553 1634,516 1783,871
503 554 1623,548 1787,097
504 555 1626,29 1790,323
506 556 1631,29 1793,548
506 557 1633,387 1796,774
507 558 1636,129 1800,0
512 559 1651,29 1803,226
509 560 1641,452 1806,452
511 561 1647,258 1809,677
511 562 1647,742 1812,903
513 563 1653,548 1816,129
514 564 1657,097 1819,355
513 565 1654,677 1822,581
517 566 1666,935 1825,807
516 567 1666,129 1829,032
521 568 1680,645 1832,258
519 569 1672,903 1835,484
520 570 1676,29 1838,71
521 571 1680,0 1841,935
517 572 1668,387 1845,161
523 573 1685,806 1848,387
518 574 1669,677 1851,613
525 575 1692,742 1854,839
527 576 1701,452 1858,065
526 577 1697,419 1861,29
528 578 1702,419 1864,516
529 579 1705,161 1867,742
530 580 1710,161 1870,968
531 581 1714,032 1874,194
531 582 1713,548 1877,419
533 583 1719,032 1880,645
533 584 1720,323 1883,871
535 585 1724,355 1887,097
535 586 1725,484 1890,323
536 587 1728,226 1893,548
537 588 1732,419 1896,774
534 589 1723,871 1900,0
540 590 1742,097 1903,226
540 591 1742,903 1906,452
541 592 1745,161 1909,677
542 593 1748,71 1912,903
542 594 1749,678 1916,129
544 595 1756,129 1919,355
545 596 1757,903 1922,581
546 597 1761,935 1925,806
547 598 1765,484 1929,032
548 599 1768,871 1932,258
548 600 1769,355 1935,484
549 601 1772,419 1938,71
551 602 1777,419 1941,935
553 603 1782,419 1945,161
552 604 1781,774 1948,387
556 605 1794,194 1951,613
555 606 1790,968 1954,839
556 607 1792,419 1958,064
563 608 1816,29 1961,29
557 609 1797,097 1964,516
558 610 1800,645 1967,742
560 611 1806,129 1970,968
561 612 1808,71 1974,194
562 613 1813,226 1977,419
561 614 1811,129 1980,645
564 615 1818,71 1983,871
565 616 1821,774 1987,097
565 617 1822,097 1990,322
566 618 1825,645 1993,548
566 619 1826,452 1996,774
568 620 1830,968 2000,0
568 621 1833,71 2003,226
570 622 1838,71 2006,452
571 623 1842,42 2009,677
572 624 1846,29 2012,903
573 625 1849,194 2016,129
574 626 1851,935 2019,355
575 627 1855,323 2022,581
576 628 1858,71 2025,806
577 629 1861,936 2029,032
578 630 1862,903 2032,258
578 631 1865,323 2035,484
580 632 1869,516 2038,71
581 633 1872,742 2041,935
582 634 1877,258 2045,161
582 635 1878,71 2048,387
579 636 1867,903 2051,613
585 637 1887,258 2054,839
585 638 1887,419 2058,064
587 639 1893,226 2061,29
589 640 1899,194 2064,516
589 641 1900,484 2067,742
